billing_address,billing_city,billing_country,billing_state,billing_postcode,payment_method,payment_account_name,payment_account_number,quantity,email,password
13 Corry Crossing,South Bend,United States,Indiana,46614,Bank Transfer,Tiffany Fairbank,4026476869819544,8,customer2@practicesoftwaretesting.com,welcome01
95551 Mitchell Junction,Gaithersburg,United States,Maryland,20883,Credit Card,Billie Richmond,30438238661413,8,customer@practicesoftwaretesting.com,welcome01
5 Magdeline Park,Minneapolis,United States,Minnesota,55446,Cash on Delivery,Emanuel Pierrepoint,3536546190147701,1,customer@practicesoftwaretesting.com,welcome01
86 Pond Crossing,London,United States,Kentucky,40745,Cash on Delivery,Robinet Kinvig,3529582822645324,5,customer2@practicesoftwaretesting.com,welcome01
11 Stone Corner Center,Anniston,United States,Alabama,36205,Buy Now Pay Later,Maximilian Robak,3544065235613437,10,customer2@practicesoftwaretesting.com,welcome01
41 Briar Crest Place,Minneapolis,United States,Minnesota,55436,Buy Now Pay Later,Benedict Treharne,4026952531076515,1,customer@practicesoftwaretesting.com,welcome01
958 Mayfield Circle,Saint Joseph,United States,Missouri,64504,Buy Now Pay Later,Cass Wilmot,3559950669496155,6,customer2@practicesoftwaretesting.com,welcome01
7241 Corben Junction,Houston,United States,Texas,77065,Bank Transfer,Jorge Hassewell,676151061471037206,10,customer@practicesoftwaretesting.com,welcome01
54593 Bunker Hill Way,Austin,United States,Texas,78737,Bank Transfer,Silvia Craisford,3583200944998702,7,customer2@practicesoftwaretesting.com,welcome01
1320 Dwight Place,Oklahoma City,United States,Oklahoma,73197,Buy Now Pay Later,Indira Haselgrove,30188538739282,10,customer@practicesoftwaretesting.com,welcome01
6284 Morningstar Place,New York City,United States,New York,10079,Buy Now Pay Later,Hailey Allberry,6771978450594198,0,customer2@practicesoftwaretesting.com,welcome01
5358 Stoughton Circle,Sacramento,United States,California,94207,Buy Now Pay Later,Lindsay Cecere,3582089388250519,0,customer@practicesoftwaretesting.com,welcome01
0 Blaine Plaza,Columbus,United States,Ohio,43268,Gift Card,Liva Bermingham,372301629994262,7,customer2@practicesoftwaretesting.com,welcome01
013 Ridgeview Hill,Muncie,United States,Indiana,47306,Buy Now Pay Later,Far Gager,3544214229697820,4,customer@practicesoftwaretesting.com,welcome01
79 Golf Course Center,Daytona Beach,United States,Florida,32128,Gift Card,Jamesy Zambon,67639222694607696,9,customer2@practicesoftwaretesting.com,welcome01
2 Miller Parkway,Shreveport,United States,Louisiana,71161,Buy Now Pay Later,Horacio Danilyuk,3577831522445498,4,customer@practicesoftwaretesting.com,welcome01
